Payout Date,Issued By,Consignor,Total Payout,,,,,,,,,,,,,Category,,,,,SKU#,Item Name,Date,QTY Sold,Sold Total,Cost Total,Gross Total,NET Total,,,Category,
04-30-2025,Annie Zhou,Alexis Ellis - 02T,$242.80,,,,,,,,,,,,,Jackets,"$2,498.89",,,,1,Brown Paper Bag ,,209,$52.25,$52.25,$52.25,$0.00,,,Jackets,"$1,241.77"
Item,Sale,Agreed,Aged Price,Sold,Discounts,Amount,,,,,,,,,,Jeans ,"$2,145.84",,,,,,,,,,,,,,Hoodies,$752.79
vintage ellington leather suede shoulder bb  •*𝓫𝓪𝓰 𝓵𝓪𝓭𝔂 ˏˋ°•*⁀➷,13527,$48.00,$48.00,04-01-2025,,$38.40,Bags,,,,,,,,,Tees,"$2,079.29",,,,0002K2,Lays Kobe Steak Flavor Chips ,,5,$27.75,$15.00,$27.75,$12.75,Prepackaged Snacks,,Tees,$613.77
vintage y2k brown velour juicy back cutie worn 𝖏𝖚𝖎𝖈𝖞 𝖉𝖗𝖔𝖕,13555,$60.00,$60.00,04-02-2025,,$48.00,Jackets,,,,,,,,,Stickers,"$1,548.04",,,,0002K0,Doritos Garlic Shrimp Chips ,,8,$31.92,$16.80,$31.92,$15.12,Prepackaged Snacks,,Jeans ,$345.92
vintage beige bcbg cutie  •*𝓫𝓪𝓰 𝓵𝓪𝓭𝔂 ˏˋ°•*⁀➷,13562,$50.00,$50.00,04-03-2025,,$40.00,Bags,,,,,,,,,Earrings,"$1,130.99",,,,0001K6,Lay's Wave Roasted Chicken Wing Flavor Chips 70g ,,4,$19.96,$9.96,$19.96,$10.00,Prepackaged Snacks,,Long Sleeves,$344.90
$15 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,13713,$15.00,$15.00,04-07-2025,,$12.00,Tank tops ,,,,,,,,,Lingerie,$934.00,,,,00027I,Lays Bbq Ribs 34g (Taiwan) ,,3,$11.97,$6.87,$11.97,$5.10,Prepackaged Snacks,,Prepackaged Snacks,$313.34
vintage y2k saresia bow slip dress 𝕚 𝕝𝕠𝕧𝕖 𝕞𝕖!,13747,$22.00,$22.00,04-09-2025,,$17.60,Lingerie,,,,,,,,,Skirts,$933.00,,,,0002QO,Lays Chilli and Lime Chips ,2025-04-14 15:53:22,1,$3.99,$1.29,$3.99,$2.70,Prepackaged Snacks,,Shorts/Jorts,$293.90
Juicy blck bow jacket,13751,$65.00,$65.00,04-09-2025,,$52.00,Jackets,,,,,,,,,Nails,$911.20,,,,0002QL,Lays Grilled Pork Chips ,,1,$3.99,$1.79,$3.99,$2.20,Prepackaged Snacks,,Crewnecks,$194.95
2009 juicy gray button ruffle bb 𝖏𝖚𝖎𝖈𝖞 𝖉𝖗𝖔𝖕,13762,$62.00,$62.00,04-10-2025,,$49.60,Jackets,,,,,,,,,Blouses,$742.95,,,,0002K4,Oreo Ultra Thin Biscuit Rose 0 Sugar ,2025-04-02 16:20:16,1,$5.50,$2.70,$5.50,$2.80,Prepackaged Snacks,,Button Ups,$177.94
vintage jasmine maxwell layered stripe cutie  𝖈𝖔𝖗𝖕𝖔𝖗𝖆𝖙𝖊 𝖖𝖚𝖊𝖊𝖓,13815,$28.00,$28.00,04-12-2025,,$22.40,Blouses,,,,,,,,,Necklaces,$732.00,,,,0002K3,Oreo Biscuit Peach Oolong ,,7,$38.50,$17.15,$38.50,$21.35,Prepackaged Snacks,,Coats,$144.98
vintage black nine west cutie bow bag  •*𝓫𝓪𝓰 𝓵𝓪𝓭𝔂 ˏˋ°•*⁀➷,13851,$38.00,$38.00,04-13-2025,,$30.40,Bags,,,,,,,,,Bags,$616.98,,,,00027K,Oreo Ultra Thin Biscuit Matcha Fig ,,2,$11.00,$6.00,$11.00,$5.00,Prepackaged Snacks,,Sweaters,$116.96
tunnel vision cutie skirt ⋆𝓃𝒾𝒸ℯ 𝒶𝓈𝓈 𝒹𝒶𝓎.ೃ࿐,13894,$36.00,$36.00,04-15-2025,,$28.80,Skirts,,,,,,,,,Keychains,$607.06,,,,00027J,Oreo Thins Chocolate Mousse (Korea) ,,2,$11.00,$5.70,$11.00,$5.30,Prepackaged Snacks,,Dresses,$104.98
black friday $15 deal 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,13970,$15.00,$15.00,04-18-2025,,$12.00,Lingerie,,,,,,,,,Prints,$536.82,,,,0002LI,Oasis Treasure Dubai Chocolate Pistachio ,,5,$54.95,$0.00,$54.95,$54.95,Prepackaged Snacks,,Blouses,$103.96
vintage belldini buckle rhinestone 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,14008,$30.00,$30.00,04-19-2025,,$24.00,Blouses,,,,,,,,,Shorts/Jorts,$498.90,,,,00027H,Kasugai Flower Kiss Candy (Japan) ,,2,$5.98,$5.18,$5.98,$0.80,Prepackaged Snacks,,Bags,$97.98
vintage dark floral ann taylor 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,14031,$34.00,$34.00,04-19-2025,,$27.20,Blouses,,,,,,,,,Tank tops ,$471.00,,,,00027L,Skittles Candy Berry Flavor 40g ,,3,$11.97,$4.11,$11.97,$7.86,Prepackaged Snacks,,Tank tops ,$74.97
"vintage layering long sleeve black stripe 𝖇𝖆𝖇𝖞, 𝖎𝖙’𝖘 𝖈𝖚𝖙𝖊",14042,$20.00,$20.00,04-19-2025,,$16.00,Long Sleeves,,,,,,,,,Long Sleeves,$423.99,,,,00027M,Skittles Mini - Colorful and Fruity Gummy 25g ,2025-04-19 15:33:40,1,$2.99,$1.75,$2.99,$1.24,Prepackaged Snacks,,Sportswear,$72.98
tank bb 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,14049,$6.00,$6.00,04-19-2025,,$4.80,Tank tops ,,,,,,,,,Hoodies,$419.98,,,,0001K5,Mango Gummy 8D Peelable Candy Containing Concentrate Gummy ,,5,$24.95,$9.95,$24.95,$15.00,Prepackaged Snacks,,Vests,$35.99
vintage denim shortie deadstock 𝖉𝖊𝖓𝖎𝖒 𝖉𝖗𝖔𝖕,14101,$30.00,$30.00,04-21-2025,,$24.00,Shorts/Jorts,,,,,,,,,Phone Charms,$382.33,,,,0002DR,Banana Milk Gummy Peelable Candy ,2025-04-26 14:59:06,1,$4.99,$1.99,$4.99,$3.00,Prepackaged Snacks,,Skirts,$27.99
vintage denim shortie deadstock 𝖉𝖊𝖓𝖎𝖒 𝖉𝖗𝖔𝖕,14102,$30.00,$30.00,04-21-2025,,$24.00,Shorts/Jorts,,,,,,,,,Dresses,$333.00,,,,0002QN,Hi-Chew Berry Mix Candy ,,2,$11.98,$6.58,$11.98,$5.40,Prepackaged Snacks,,Keychains,$20.00
vintage Nine West shoulder cutie  •*𝓫𝓪𝓰 𝓵𝓪𝓭𝔂 ˏˋ°•*⁀➷,14145,$28.00,$28.00,04-23-2025,,$22.40,Bags,,,,,,,,,Button Ups,$324.00,,,,0002QM,Hi-Chew Sweet & Sour Mix Candy ,,2,$11.98,$6.58,$11.98,$5.40,Prepackaged Snacks,,Misc. Accessories,$12.99
vintage cutie 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,14152,$20.00,$20.00,04-24-2025,,$16.00,Lingerie,,,,,,,,,Candles,$320.00,,,,0002QP,Hi-Chew Fantasy Mix Candy ,,3,$17.97,$9.87,$17.97,$8.10,Prepackaged Snacks,,Lingerie,$12.00
y2k cutie $25 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,14166,$25.00,$25.00,04-25-2025,,$20.00,Blouses,,,,,,,,,Misc. Accessories,$303.00,,,,,,,,,,,,,,Hats,$10.00
vintage y2k ambiance brown <3 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,14228,$15.00,$15.00,04-26-2025,,$12.00,Tank tops ,,,,,,,,,Bracelets,$272.00,,,,0000AY,Resin floral keychain ,,2,$20.00,$6.00,$20.00,$14.00,Keychains,,Cardigans,$0.00
vintage  zip side beauty casual 𝖈𝖔𝖗𝖕𝖔𝖗𝖆𝖙𝖊 𝖖𝖚𝖊𝖊𝖓,14263,$34.00,$34.00,04-27-2025,,$27.20,Jackets,,,,,,,,,Tumblers,$270.59,,,,0001K7,Finding Unicorn Rico Happy Picnic Together Series Blind Box ,2025-04-06 15:59:38,1,$12.99,$0.00,$12.99,$12.99,Misc. Accessories,,Athleticwear,$0.00
vintage shortie 𝖉𝖊𝖓𝖎𝖒 𝖉𝖗𝖔𝖕,14288,$30.00,$30.00,04-27-2025,,$24.00,Shorts/Jorts,,,,,,,,,Sportswear,$205.00,,,,0002C7,Vtg Baseball Caps WN ,2025-04-07 16:01:33,1,$10.00,$3.00,$10.00,$7.00,Hats,,Overalls,$0.00
,,,$741.00,$32.22,23,$592.80,,,,,,,,,,Stationery,$148.00,,,,,,,,,,,,,,Prints,$0.00
,,,,,,,,,,,,,,,,Vests,$143.00,,,,,$5 steals ,,5,$25.00,$0.00,$25.00,$25.00,,,Total,"$5,115.06"
04-30-2025,Annie Zhou,Alexis Gomez - 03B,$121.18,,,,,,,,,,,,,Crochet Accessories,$140.00,,,,0001ZF,$10 steals ,,11,$110.00,$11.00,$110.00,$99.00,,,,
Item,Sale,Agreed,Aged Price,Sold,Discounts,Amount,,,,,,,,,,Coats,$117.00,,,,0002IS,$14 steals ,2025-04-19 15:33:40,1,$14.00,$0.00,$14.00,$14.00,,,$10 steals ,$220.98
"Dead stock, Ben Davis Shorts Sz34",13524,$35.00,$35.00,04-01-2025,,$26.25,Shorts/Jorts,,,,,,,,,Sweaters,$90.00,,,,0001WD,Brandy Melville Olive Hoodie ,2025-04-01 15:24:40,1,$10.00,$0.00,$10.00,$10.00,Hoodies,,$14 steals ,$42.00
Vintage Giants sweater,13541,$40.00,$40.00,04-02-2025,,$30.00,Sportswear,,,,,,,,,Cardigans,$78.00,,,,0000TU,Vtg Carol Anderson Dress Made In USA ,2025-04-06 16:46:10,1,$12.00,$0.00,$12.00,$12.00,Dresses,,$12 steals ,$108.00
Vintage Adidas Fleece,13771,$50.00,$50.00,04-11-2025,,$37.50,Jackets,,,,,,,,,Athleticwear,$55.00,,,,0001BI,Dollhouse Cropped Denim Jacket ,2025-04-15 16:54:00,1,$10.00,$0.00,$10.00,$10.00,Jackets,,$5 steals ,$25.00
"Anchor blue, long sleeve thermal",13848,$25.00,$25.00,04-13-2025,,$18.75,Long Sleeves,,,,,,,,,Hair Accessories,$45.00,,,,0001QF,Billabong California Love Hoodie ,2025-04-06 14:55:29,1,$12.00,$0.00,$12.00,$12.00,Hoodies,,$1 steals ,$0.00
Multicolor tank top,13942,$16.50,$16.50,04-17-2025,,$12.38,Tank tops ,,,,,,,,,Crewnecks,$25.00,,,,155,BDG Urban Outfitters Cropped Denim Jacket ,2025-04-09 14:36:21,1,$12.00,$0.00,$12.00,$12.00,Jackets,,Total,$395.98
Hurley corduroy jacket,13974,$45.00,$45.00,04-19-2025,,$33.75,Jackets,,,,,,,,,Hats,$18.00,,,,0001CV,Jones New York Signature Red Paisley Button Up ,2025-04-12 17:48:51,1,$10.00,$0.00,$10.00,$10.00,Button Ups,,,
Katydid Top,14004,$18.50,$18.50,04-19-2025,,$13.88,Blouses,,,,,,,,,Total,"$20,499.85",,,,0001RA,Victoria’s Secret Black Slip ,2025-04-13 17:59:30,1,$12.00,$0.00,$12.00,$12.00,Lingerie,,,
Hello Paris top,14014,$18.50,$18.50,04-19-2025,,$13.88,Tees,,,,,,,,,,,,,,152,Dickies White Button Up Jacket ,2025-04-15 16:34:03,1,$14.00,$0.00,$14.00,$14.00,Jackets,,,
Chaps jacket,14015,$45.00,$45.00,04-19-2025,,$33.75,Jackets,,,,,,,,,,,,,,0001FM,Dickies White Button Up ,2025-04-15 16:34:03,1,$12.00,$0.00,$12.00,$12.00,Jackets,,,
Vintage Superline Top,14023,$18.50,$18.50,04-19-2025,,$13.88,Tees,,,,,,,,,,,,,,145,Vtg Eagle Rider Motorcycle Tee Made in USA ,2025-04-17 16:41:54,1,$10.00,$0.00,$10.00,$10.00,Tees,,,
Brown no brand top,14049,$15.00,$15.00,04-19-2025,,$11.25,Blouses,,,,,,,,,,,,,,0000G7,Billabong Fleece Hoodie ,2025-04-18 16:05:51,1,$10.00,$0.00,$10.00,$10.00,Hoodies,,,
IMC polkadot top,14057,$18.50,$18.50,04-20-2025,,$13.88,Blouses,,,,,,,,,,,,,,0001X1,Brandy Melville Gray Cropped Full Zip Hoodie ,2025-04-19 13:22:11,1,$12.00,$0.00,$12.00,$12.00,Hoodies,,,
Old Navy corduroy jacket,14078,$45.00,$45.00,04-20-2025,,$33.75,Jackets,,,,,,,,,,,,,,262,Nike Gray Tee ,2025-04-21 15:12:26,1,$10.00,$0.00,$10.00,$10.00,Tees,,,
Touch Fashion Top,14102,$18.50,$18.50,04-21-2025,,$13.88,Blouses,,,,,,,,,,,,,,252,Nike Baseball Gray Tee ,2025-04-21 15:12:26,1,$10.00,$0.00,$10.00,$10.00,Tees,,,
Raakhee top,14159,$18.50,$18.50,04-24-2025,,$13.88,Tees,,,,,,,,,,,,,,0001EK,Cropped Disney Mickey Mouse Red Hoodie ,2025-04-23 16:37:17,1,$12.00,$0.00,$12.00,$12.00,Hoodies,,,
Vintage Elegance top,14210,$16.50,$16.50,04-26-2025,,$12.38,Blouses,,,,,,,,,,,,,,0001HV,Stranger Things Hawkins Sleeveless Hoodie ,2025-04-25 12:04:57,1,$10.00,$0.00,$10.00,$10.00,Hoodies,,,
Vintage cami top,14228,$15.50,$15.50,04-26-2025,,$11.63,Tank tops ,,,,,,,,,,,,,,0001FA,Vtg Disney Magical Gatherings Crew ,2025-04-25 16:01:36,1,$14.00,$0.00,$14.00,$14.00,Crewnecks,,,
NU pink top,14262,$18.50,$18.50,04-27-2025,,$13.88,Tees,,,,,,,,,,,,,,0001HB,Lake Tahoe Gray Crewneck ,2025-04-26 13:22:52,1,$12.00,$0.00,$12.00,$12.00,Crewnecks,,,
Blue Canyon top,14265,$18.50,$18.50,04-27-2025,,$13.88,Tees,,,,,,,,,,,,,,0000HI,LL Bean Green Hoodie ,2025-04-26 14:08:30,1,$10.99,$0.00,$10.99,$10.99,Hoodies,,,
Vintage whale AOP,14308,$45.00,$45.00,04-27-2025,,$33.75,Tees,,,,,,,,,,,,,,00011K,Disney Tinkerbell tee ,2025-04-26 16:53:41,1,$10.00,$0.00,$10.00,$10.00,Tees,,,
Y2K T-shirt,14319,$20.00,$20.00,04-28-2025,,$15.00,Tees,,,,,,,,,,,,,,0000QU,Lucky Brand Cutoff Shorts ,2025-04-29 16:12:50,1,$9.99,$0.00,$9.99,$9.99,Shorts/Jorts,,,
,,,$561.50,$26.74,21,$421.18,,,,,,,,,,,,,,,118,Y2k rose top ,2025-04-30 12:33:28,1,$12.00,$0.00,$12.00,$12.00,Tees,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-30-2025,Annie Zhou,Alice Yang - 02B,$205.61,,,,,,,,,,,,,,,,,,0002OA,Brixton Wildflowers Don't Care Where They Grow Denim Jacket L Sac ,2025-04-02 13:57:43,1,$74.99,$15.00,$74.99,$59.99,Jackets,,,
Item,Sale,Agreed,Aged Price,Sold,Discounts,Amount,,,,,,,,,,,,,,,0002M2,Faith Floral Colorful Button Up M TO ,2025-04-02 15:16:45,1,$25.99,$9.00,$25.99,$16.99,Button Ups,,,
What Documentation Waterproof Vinyl Sticker,13579,$3.99,$3.99,04-03-2025,,$2.99,Stickers,,,,,,,,,,,,,,0002MS,Bedazzled Redemption Cross Tan Purse Cutie AF ,2025-04-02 17:47:16,1,$37.99,$18.00,$37.99,$19.99,Bags,,,
Head Empty No Thoughts Waterproof Vinyl Sticker,13610,$3.99,$3.99,04-05-2025,,$2.99,Stickers,,,,,,,,,,,,,,0001X3,Eckored+ Black Jacket ,2025-04-02 17:51:55,1,$37.99,$0.00,$37.99,$37.99,Jackets,,,
No More Questions Waterproof Vinyl Sticker,13610,$3.99,$3.99,04-05-2025,,$2.99,Stickers,,,,,,,,,,,,,,0002OZ,Miss Me Flare Bottoms w/ Floral Embroidery sz 27 Sac ,2025-04-03 13:14:00,1,$69.99,$15.00,$69.99,$54.99,Jeans ,,,
Baby on Board Waterproof Vinyl Sticker,13632,$3.99,$3.99,04-05-2025,,$2.99,Stickers,,,,,,,,,,,,,,0002JC,Tommy Hilfiger Denim Black Full Zip Hoodie S TO ,2025-04-03 14:54:57,1,$29.99,$9.00,$29.99,$20.99,Hoodies,,,
Just a Simple Cog Waterproof Vinyl Sticker,13632,$3.99,$3.99,04-05-2025,,$2.99,Stickers,,,,,,,,,,,,,,0002OE,Harley Davidson Morgan Hills CA Pink Tee XL Sac ,2025-04-03 16:00:36,1,$26.99,$15.00,$26.99,$11.99,Tees,,,
Just a Simple Cog Waterproof Vinyl Sticker,13633,$3.99,$3.99,04-05-2025,,$2.99,Stickers,,,,,,,,,,,,,,0002JY,y2k Affliction Dead or Alive Angel Wings Red Waffle Knit Long Sleeve XL AF ,2025-04-03 16:25:59,1,$65.99,$20.00,$65.99,$45.99,Long Sleeves,,,
Scope Creep Waterproof Vinyl Sticker,13633,$3.99,$3.99,04-05-2025,,$2.99,Stickers,,,,,,,,,,,,,,0002ME,Abercrombie and Fitch Olive Quilted Jacket w/ Fur Trim M AF ,2025-04-03 16:29:42,1,$59.99,$18.00,$59.99,$41.99,Jackets,,,
No More Questions Waterproof Vinyl Sticker,13633,$3.99,$3.99,04-05-2025,,$2.99,Stickers,,,,,,,,,,,,,,0002MP,Vtg Aeropostale Yellow Cable Knit Jacket M TO ,2025-04-03 16:38:59,1,$32.99,$9.00,$32.99,$23.99,Jackets,,,
What Documentation Waterproof Vinyl Sticker,13633,$3.99,$3.99,04-05-2025,,$2.99,Stickers,,,,,,,,,,,,,,0002MC,Victoria's Secret Pink Full Zip Hoodie ,2025-04-03 16:59:45,1,$27.99,$0.00,$27.99,$27.99,Hoodies,,,
The Horrors Persist Large Print,13637,$24.99,$24.99,04-05-2025,,$18.74,Prints,,,,,,,,,,,,,,0002OH,y2k Black Label Affliction Eagle & Sword Tee L Sac ,2025-04-03 17:02:07,1,$45.99,$15.00,$45.99,$30.99,Tees,,,
Incorrigible Waterproof Vinyl Sticker,13639,$3.99,$3.99,04-05-2025,,$2.99,Stickers,,,,,,,,,,,,,,0002OR,Guess Jeans Booty Shorts 29W Sac ,2025-04-03 17:29:08,1,$21.99,$15.00,$21.99,$6.99,Shorts/Jorts,,,
Summoning Waterproof Vinyl Sticker,13639,$3.99,$3.99,04-05-2025,,$2.99,Stickers,,,,,,,,,,,,,,0002OQ,Ed Hardy Denim Jorts Sac ,2025-04-03 17:41:48,1,$45.99,$15.00,$45.99,$30.99,Shorts/Jorts,,,
Mochi Pout Mini Print,13653,$4.99,$4.99,04-05-2025,,$3.74,Prints,,,,,,,,,,,,,,00026Z,y2k Floral Scribble Baby Tee SS ,2025-04-03 18:14:17,1,$25.99,$0.00,$25.99,$25.99,Tees,,,
Summoning Waterproof Vinyl Sticker,13659,$3.99,$3.99,04-05-2025,,$2.99,Stickers,,,,,,,,,,,,,,0002DI,Lauren Ralph Lauren Red Flannel M TO ,2025-04-04 13:09:19,1,$24.99,$9.00,$24.99,$15.99,Button Ups,,,
Baby on Board Waterproof Vinyl Sticker,13673,$3.99,$3.99,04-06-2025,,$2.99,Stickers,,,,,,,,,,,,,,0001AZ,Vtg Eddie Bauer Elkhorn Twill Denim Button Up Made in USA ,2025-04-04 16:17:57,1,$30.99,$0.00,$30.99,$30.99,Button Ups,,,
Incorrigible Waterproof Vinyl Sticker,13674,$3.99,$3.99,04-06-2025,,$2.99,Stickers,,,,,,,,,,,,,,0002N1,Self Esteem Red Fur Full Zip Hoodie XL Sac ,2025-04-04 16:26:16,1,$32.99,$15.00,$32.99,$17.99,Hoodies,,,
What Documentation Waterproof Vinyl Sticker,13675,$3.99,$3.99,04-06-2025,,$2.99,Stickers,,,,,,,,,,,,,,2.00E+00,Kenpo Mexico Black Track Jacket XL TO ,2025-04-04 18:13:11,1,$27.99,$9.00,$27.99,$18.99,Jackets,,,
Incorrigible Large Print,13676,$24.99,$24.99,04-06-2025,,$18.74,Prints,,,,,,,,,,,,,,0002O7,Sinful Gray Waffle Knit V Neck Long Sleeve w/ Back Angel Wings M Sac ,2025-04-05 14:41:59,1,$39.99,$15.00,$39.99,$24.99,Long Sleeves,,,
Incorrigible Mini Print,13684,$4.99,$4.99,04-06-2025,,$3.74,Prints,,,,,,,,,,,,,,0002LF,Victoria's Secret Black and Blue Striped Tank Top M TO ,2025-04-05 14:41:59,1,$19.99,$9.00,$19.99,$10.99,Tank tops ,,,
Incorrigible Mini Print,13730,$4.99,$4.99,04-08-2025,,$3.74,Prints,,,,,,,,,,,,,,0002FF,y2k Faded Glory Green Lace Plaid Tank Top AF ,2025-04-05 14:41:59,1,$28.99,$15.00,$28.99,$13.99,Tank tops ,,,
Not Your Strongest Soldier Mini Print,13735,$4.99,$4.99,04-08-2025,,$3.74,Prints,,,,,,,,,,,,,,0001PC,Y2k Vol. 1 Red Floral Long Sleeve ,2025-04-05 14:41:59,1,$22.99,$0.00,$22.99,$22.99,Long Sleeves,,,
Incorrigible Waterproof Vinyl Sticker,13756,$3.99,$3.99,04-09-2025,,$2.99,Stickers,,,,,,,,,,,,,,0002OK,Juicy Couture Black Velour Full Zip Hoodie L Sac ,2025-04-05 15:22:25,1,$44.99,$15.00,$44.99,$29.99,Hoodies,,,
Baby on Board Waterproof Vinyl Sticker,13770,$3.99,$3.99,04-11-2025,,$2.99,Stickers,,,,,,,,,,,,,,0001CH,Ralph Lauren Denim Dress ,2025-04-05 17:10:28,1,$32.99,$0.00,$32.99,$32.99,Dresses,,,
Email Meeting Waterproof Vinyl Sticker,13770,$3.99,$3.99,04-11-2025,,$2.99,Stickers,,,,,,,,,,,,,,0001ZL,Carhartt Original Fit Gray Work Pants ,2025-04-05 17:18:11,1,$32.99,$0.00,$32.99,$32.99,Jeans ,,,
Delicate Baby Cat Waterproof Vinyl Sticker,13770,$3.99,$3.99,04-11-2025,,$2.99,Stickers,,,,,,,,,,,,,,0000VR,AG The Graduate 33W Cutoff Jorts ,2025-04-05 17:21:59,1,$25.99,$0.00,$25.99,$25.99,Shorts/Jorts,,,
Get Out Waterproof Vinyl Sticker,13770,$3.99,$3.99,04-11-2025,,$2.99,Stickers,,,,,,,,,,,,,,0002P7,Trailmaster Brown Suede Leather w/ Fur Trim Coat Sac ,2025-04-05 17:50:19,1,$89.99,$15.00,$89.99,$74.99,Coats,,,
Head Empty No Thoughts Waterproof Vinyl Sticker,13770,$3.99,$3.99,04-11-2025,,$2.99,Stickers,,,,,,,,,,,,,,0001IS,Gap Boot Cut Jeans ,2025-04-05 17:51:41,1,$22.99,$0.00,$22.99,$22.99,Jeans ,,,
Summoning Waterproof Vinyl Sticker,13784,$3.99,$3.99,04-11-2025,,$2.99,Stickers,,,,,,,,,,,,,,287,Anchor Blue Denim Jacket ,2025-04-06 12:29:07,1,$26.99,$0.00,$26.99,$26.99,Jackets,,,
No More Questions Waterproof Vinyl Sticker,13784,$3.99,$3.99,04-11-2025,,$2.99,Stickers,,,,,,,,,,,,,,0002H4,Union Bay Shorts sz 3/4 SS ,2025-04-06 13:57:11,1,$21.99,$9.00,$21.99,$12.99,Shorts/Jorts,,,
Delicate Baby Cat Waterproof Vinyl Sticker,13784,$3.99,$3.99,04-11-2025,,$2.99,Stickers,,,,,,,,,,,,,,0002O2,Harley Davidson San Francisco Black Graphic Tee Sac ,2025-04-06 15:13:15,1,$29.99,$15.00,$29.99,$14.99,Tees,,,
Baby on Board Waterproof Vinyl Sticker,13784,$3.99,$3.99,04-11-2025,,$2.99,Stickers,,,,,,,,,,,,,,0002MV,Moda International Green Velour Full Zip Hoodie XL Sac ,2025-04-07 14:26:01,1,$27.99,$15.00,$27.99,$12.99,Hoodies,,,
Incorrigible Mini Print,13815,$4.99,$4.99,04-12-2025,,$3.74,Prints,,,,,,,,,,,,,,0002OI,Harley Davidson Zion Washington Red V Neck Tee L Sac ,2025-04-07 16:14:20,1,$29.99,$15.00,$29.99,$14.99,Tees,,,
Oh No Waterproof Vinyl Sticker,13862,$3.99,$3.99,04-13-2025,,$2.99,Stickers,,,,,,,,,,,,,,0002O9,BCBG Maxaria Purple Velour Full Zip Hoodie w/ Rose Bedazzled Back L (NEW w/ tags) Sac ,2025-04-07 16:17:36,1,$49.99,$15.00,$49.99,$34.99,Hoodies,,,
Incorrigible Waterproof Vinyl Sticker,13906,$3.99,$3.99,04-15-2025,,$2.99,Stickers,,,,,,,,,,,,,,0002PW,Polo Sport Ralph Lauren White Quarter Zip L AF ,2025-04-08 13:33:25,1,$32.99,$24.00,$32.99,$8.99,Crewnecks,,,
Per My Last Email Waterproof Vinyl Sticker,13914,$3.99,$3.99,04-16-2025,,$2.99,Stickers,,,,,,,,,,,,,,0002JH,Realtree Camo Hoodie 3XL AF (flawed) ,2025-04-09 12:13:07,1,$24.99,$18.00,$24.99,$6.99,Hoodies,,,
Incorrigible Mini Print,13919,$4.99,$4.99,04-17-2025,,$3.74,Prints,,,,,,,,,,,,,,0002HY,y2k Baby Phat Bedazzled Flare Bottoms sz 11 SS ,2025-04-10 13:57:55,1,$39.99,$9.00,$39.99,$30.99,Jeans ,,,
Incorrigible Large Print,13939,$24.99,$24.99,04-17-2025,,$18.74,Prints,,,,,,,,,,,,,,00023N,y2k Lee Frayed Denim Jacket ,2025-04-10 17:17:19,1,$35.99,$0.00,$35.99,$35.99,Jackets,,,
Who Farted Waterproof Vinyl Sticker,13962,$3.99,$3.99,04-18-2025,,$2.99,Stickers,,,,,,,,,,,,,,0002PB,Ed Hardy Sweat Shorts Red S AF ,2025-04-11 13:02:24,1,$39.99,$21.60,$39.99,$18.39,Shorts/Jorts,,,
Summoning Waterproof Vinyl Sticker,13972,$3.99,$3.99,04-19-2025,,$2.99,Stickers,,,,,,,,,,,,,,0002Q3,y2k Vocal Bedazzled Cross Gray Full Zip Hoodie Made in USA ,2025-04-11 16:55:06,1,$37.99,$10.00,$37.99,$27.99,Hoodies,,,
Incorrigible Mini Print,13988,$4.99,$4.99,04-19-2025,,$3.74,Prints,,,,,,,,,,,,,,0002MM,Drum Jeans USA White Denim Jacket M TO ,2025-04-12 12:55:46,1,$27.99,$9.00,$27.99,$18.99,Jackets,,,
The Horrors Persist Large Print,13989,$24.99,$24.99,04-19-2025,,$18.74,Prints,,,,,,,,,,,,,,0002MZ,Nike Lavender and White Jacket L Sac ,2025-04-12 13:01:21,1,$30.99,$15.00,$30.99,$15.99,Jackets,,,
Just a Simple Cog Waterproof Vinyl Sticker,13998,$3.99,$3.99,04-19-2025,,$2.99,Stickers,,,,,,,,,,,,,,0002GE,CPW New York Black Floral Blouse AF ,2025-04-12 14:43:34,1,$24.99,$15.00,$24.99,$9.99,Blouses,,,
Delicate Baby Cat Waterproof Vinyl Sticker,14009,$3.99,$3.99,04-19-2025,,$2.99,Stickers,,,,,,,,,,,,,,0001CF,Vtg Marithe Francois Girbaud White Shorts ,2025-04-12 15:13:34,1,$32.99,$0.00,$32.99,$32.99,Shorts/Jorts,,,
Oh No Waterproof Vinyl Sticker,14009,$3.99,$3.99,04-19-2025,,$2.99,Stickers,,,,,,,,,,,,,,0002HC,Tripp NYC Red Zebra Print Pants sz 9 SS ,2025-04-12 16:33:58,1,$55.99,$9.00,$55.99,$46.99,Jeans ,,,
